commonName,minHeight,maxHeight,minSpread,maxSpread,avgHeight,avgSpread,AreaIn2,AreaFt2,VolumeIn3,VolumeFt3,numberOfPlants
Wild Hydrangea,48,60,48,72,54,60,"2,827.43",19.63,"152,681.40",88.36,0
Wild Onion,12,24,4,6,18,5,19.63,0.14,353.43,0.20,0
Wild Petunia,4,12,6,12,8,9,63.62,0.44,508.94,0.29,0
Wild Plum,96,240,96,240,168,168,"22,167.08",153.94,"3,724,069.06","2,155.13",0
Wild Quinine,24,48,12,24,36,18,254.47,1.77,"9,160.88",5.30,0
Wild Senna,36,60,24,36,48,30,706.86,4.91,"33,929.20",19.63,0
Wild Strawberry,6,10,18,18,8,18,254.47,1.77,"2,035.75",1.18,0
Wild Sweet William,12,16,12,12,14,12,113.10,0.79,"1,583.36",0.92,0
Willow Oak,720,1080,360,600,900,480,"180,955.74","1,256.64","162,860,163.16","94,247.78",0
Willow-leaved Sunflower,48,72,24,36,60,30,706.86,4.91,"42,411.50",24.54,0
Winged Sumac,96,120,240,360,108,300,"70,685.83",490.87,"7,634,070.15","4,417.86",0
Winterberry Holly,72,120,48,96,96,72,"4,071.50",28.27,"390,864.39",226.19,0
Witch Hazel,180,240,180,240,210,210,"34,636.06",240.53,"7,273,572.39","4,209.24",0
Woodland spiderwort,1,2,1,2,1.5,1.5,1.77,0.01,2.65,0.00,0
Yarrow,24,36,16,24,30,20,314.16,2.18,"9,424.78",5.45,0
Yellow Coneflower,24,36,18,18,30,18,254.47,1.77,"7,634.07",4.42,0
Yellow Honeysuckle,10,20,3,6,15,4.5,15.90,0.11,238.56,0.14,0
Yellow Passionflower,96,144,24,48,120,36,"1,017.88",7.07,"122,145.12",70.69,0
Yellow Trout Lily,6,12,4,6,9,5,19.63,0.14,176.71,0.10,0
Yellow Wild Indigo,20,24,24,36,22,30,706.86,4.91,"15,550.88",9.00,0
Yellowood,360,720,24,48,540,36,"1,017.88",7.07,"549,653.05",318.09,0
Yucca,24,72,24,24,48,24,452.39,3.14,"21,714.69",12.57,0
Zig Zag Goldenrod,10,14,18,18,12,18,254.47,1.77,"3,053.63",1.77,0
Zig-zag Iris,9,12,9,12,10.5,10.5,86.59,0.60,909.20,0.53,0
